ensemble_lasso,pca_component_1,pca_component_2,pca_component_4,pca_component_5,pca_component_7,pca_component_9
ensemble_lasso,pca_component_1,pca_component_2,pca_component_4,pca_component_5,pca_component_7,pca_component_9
2881,2881,2881,2881,2881,2881,2881
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0009172121914285861,0.6244056710719664,0.18597340992175498,0.5373761687741507,0.034207579139718954,0.00897797476940643,-0.018008283384947713
-0.002110742233746484,0.5595499709040056,0.16895902160951579,0.45129068342973616,0.024186998070614033,0.053947946908846786,0.09334287757743952
-0.0017237150694542592,0.4033387159247039,0.1139484294680132,0.31371630687816127,0.016284895102254664,0.03936368709757783,0.061522859216600397
0.0006589043359163018,0.1941836941928685,0.09577678674464486,0.13953578750336698,0.0481940985996439,0.04158557191258729,0.028167588397308187
0.0,0.002686246915258669,0.0008470210802241271,0.0022052689813220694,6.559971420168273e-05,0.00018660475404327556,0.00015308253952540717
-4.028599795882577e-06,0.001302892754649779,0.000657445804743462,0.0008916265132071888,4.642037065505887e-05,8.703083754159925e-05,6.90058720345357e-05
-4.028599795882577e-06,-0.0013833541606088897,-0.00018957527548066523,-0.0013136424681148805,-1.9179343546623865e-05,-9.957391650167633e-05,-8.40766674908715e-05
0.0016219640527092571,0.0016219640527092571,0.0016219640527092571,0.0016219640527092571,0.0016219640527092571,0.0016219640527092571,0.0016219640527092571
0.0,1.6561692047192296,0.5222193912431663,1.3596287646686653,0.04044461656971242,0.11504863731818175,0.09438096933757864
{0: -4.028599795882577e-06},"{0: -0.0013833541606088897, 1: -0.0002533956602917511, 2: 5.0234141081827204e-05, 3: 0.00026596879476894597, 4: 0.001302892754649779}","{0: -0.00018957527548066523, 1: -0.0001182332450173569, 2: -0.00021056212925368558, 3: -0.00015925458948118983, 4: 0.000657445804743462}","{0: -0.0013136424681148805, 1: -0.00013505277023343962, 2: 0.00015045049684254627, 3: 0.00038901705738333416, 4: 0.0008916265132071888}","{0: -1.9179343546623865e-05, 1: -2.9628114720527736e-05, 2: -1.0859534251107576e-05, 3: -6.8819330028523085e-06, 4: 4.642037065505887e-05}","{0: -9.957391650167633e-05, 1: -2.1862547190897338e-05, 2: -6.161687307740756e-06, 3: 2.0586488488319533e-05, 4: 8.703083754159925e-05}","{0: -8.40766674908715e-05, 1: -0.00012173359649081626, 2: 7.502629596208891e-06, 3: 0.00010931775520675089, 4: 6.90058720345357e-05}"
0.0,-0.6374918422392672,1.0118002153447723,-0.9473160390925849,2.0322843487999798,1.4586892425593472,-0.5033976512250944
53.908816270771794,2.4789157529853063,2.518760037751726,2.924852095168497,12.65874151941055,9.0638886696273,3.9748297839191395
1.6276734899947191e-09,1.6055727924721015,0.5258071242827528,1.1352701302871462,0.6676028265817346,0.23471074804829675,0.24568283928628423
0.4963554321416175,0.4730996181881291,0.4790003471017008,0.48559527941686914,0.4921902117320375,0.4911489066296425,0.47934744880249913
0.9895685603647767,0.7392098460724892,0.928863108009801,0.5483010261439218,0.5809356137284682,0.8820061150376937,0.8364064929111368
0.9790333415514937,0.6654934417757081,0.9071888775161865,0.5192185479587401,0.4346606826807881,0.7942943304127188,0.7076611745166361
0.9683909564949763,0.6103515867838354,0.8828827578651537,0.5105097338172507,0.3393003390377506,0.7000339836100524,0.6012458017426898
0.9576378323341622,0.5485830237733584,0.8563885847243174,0.4690122253746465,0.29629123827511916,0.6035151645972843,0.49521198878137485
0.9467701958547183,0.4867290355799779,0.8261790842075417,0.43749994870691244,0.21505226001077757,0.50566650271867,0.4188072739341652
0.9357840574323643,0.46178738515514056,0.8045017113216665,0.4321883140129782,0.15332999621968663,0.44983765058683395,0.3636874239507986
0.9246751932841434,0.4236932611671907,0.7871095167537807,0.3930734803739588,0.11667743712016568,0.40093723485831634,0.3282107940861423
0.9134391258043475,0.40845883211114564,0.7661577807780853,0.4006626093555565,0.0715941578328021,0.35765231557246935,0.31531343824646435
0.9020711017264933,0.3836968594372878,0.7486669023295054,0.38050783042407754,0.021311409666745426,0.317005400991787,0.31281954059016437
0.8905660678099917,0.353251181268938,0.7281127060159431,0.38758563367355486,-0.0066534079554478156,0.28035614221640004,0.29617723879995256
